Time,String1Module1,String1Module2,String1Module3,String1Module4,String1Module5,String1Module6,String1Module7,String1Module8,String1Module9,String1Module10,String1Module11,String1Module12,String1Module13,String1Module14,String1Module15,String1Module16,String1Module17,String1Module18,String1Module19,String2Module1,String2Module2,String2Module3,String2Module4,String2Module5,String2Module6,String2Module7,String2Module8,String2Module9,String2Module10,String2Module11,String2Module12,String2Module13,String2Module14,String2Module15,String2Module16,String2Module17,String2Module18,String2Module19,String3Module1,String3Module2,String3Module3,String3Module4,String3Module5,String3Module6,String3Module7,String3Module8,String3Module9,String3Module10,String3Module11,String3Module12,String3Module13,String3Module14,String3Module15,String3Module16,String3Module17,String3Module18,String3Module19,String4Module1,String4Module2,String4Module3,String4Module4,String4Module5,String4Module6,String4Module7,String4Module8,String4Module9,String4Module10,String4Module11,String4Module12,String4Module13,String4Module14,String4Module15,String4Module16,String4Module17,String4Module18,String4Module19
"2024-11-15 00:00:29",52.6963,52.6729,52.7061,52.7325,52.6239,52.7151,52.6921,52.7514,52.6804,52.6522,52.5066,52.5639,52.5903,52.6246,52.4904,52.4885,52.4662,52.3987,52.5767,52.2829,52.2697,52.3859,52.2856,52.1185,52.2856,52.6903,52.5986,52.6439,53.0451,52.1581,52.0506,52.4738,52.556,52.5085,52.2814,52.0318,51.962,51.9299,51.6772,51.6742,52.1294,52.0061,52.1091,51.8085,51.8741,51.9171,51.8006,51.4879,51.4125,51.7432,51.8017,51.7911,51.7542,51.3914,66.5322,66.7626,66.7837,52.338,52.5801,52.4885,52.5926,52.3384,52.5303,52.2984,52.4598,52.622,52.5217,52.484,52.4979,52.5062,52.5168,52.4655,52.4455,52.3704,52.3214,52.3776
"2024-11-15 00:01:34",52.7408,52.7219,52.7581,52.771,52.6627,52.7736,52.7638,52.7985,52.7204,52.6986,52.5616,52.6133,52.6424,52.6812,52.5451,52.5349,52.51,52.4549,52.6178,52.3452,52.3323,52.4527,52.3455,52.1736,52.3433,52.7314,52.6499,52.6771,53.0927,52.2132,52.1113,52.5036,52.599,52.5601,52.3335,52.0996,52.0291,52.0114,51.7564,51.7459,52.177,52.0691,52.1683,51.8602,51.9164,51.9575,51.859,51.5656,51.4717,51.8051,51.8575,51.8522,51.7957,51.4468,66.5932,66.8127,66.8282,52.3912,52.6227,52.5496,52.6416,52.3844,52.5794,52.3425,52.5013,52.6759,52.5798,52.5383,52.5541,52.5654,52.576,52.5043,52.4975,52.4281,52.3727,52.4368
"2024-11-15 00:02:39",52.7947,52.783,52.8109,52.8181,52.7261,52.8158,52.8023,52.8528,52.7766,52.7593,52.6069,52.6642,52.6978,52.7291,52.6005,52.5828,52.565,52.4983,52.6642,52.4048,52.39,52.4907,52.3968,52.2143,52.3961,52.7593,52.6778,52.7219,53.1338,52.2709,52.1717,52.5481,52.6371,52.5971,52.3776,52.1434,52.0702,52.0502,51.8179,51.8104,52.2226,52.0947,52.189,51.8911,51.9507,52.0027,51.8941,51.615,51.5415,51.8289,51.8824,51.8835,51.839,51.5011,66.6483,66.8603,66.887,52.4421,52.6771,52.6028,52.6918,52.4398,52.6325,52.3976,52.5454,52.734,52.6258,52.5884,52.6012,52.616,52.6212,52.5601,52.5571,52.4764,52.4296,52.4832
"2024-11-15 00:03:44",52.8415,52.8204,52.8664,52.872,52.7672,52.8577,52.8415,52.8864,52.8328,52.8026,52.6616,52.7091,52.7249,52.7664,52.6352,52.625,52.6028,52.5368,52.7046,52.4519,52.4594,52.5451,52.4636,52.2694,52.4587,52.8283,52.7442,52.7706,53.1802,52.3263,52.2245,52.6024,52.6872,52.642,52.4229,52.2041,52.1377,52.1015,51.8749,51.8632,52.2822,52.1562,52.2482,51.9307,52.0012,52.0287,51.9371,51.6727,51.6003,51.8828,51.9371,51.9311,51.8869,51.5618,66.689,66.8961,66.953,52.4896,52.7268,52.6435,52.7453,52.4798,52.6872,52.4527,52.5967,52.7804,52.6797,52.6359,52.6484,52.6552,52.6635,52.608,52.602,52.5209,52.4742,52.5273
"2024-11-15 00:04:49",52.8898,52.8717,52.912,52.9309,52.8124,52.9165,52.9033,52.9407,52.8781,52.8468,52.7136,52.7702,52.786,52.8158,52.6895,52.6744,52.6597,52.5835,52.7487,52.5024,52.5005,52.5884,52.5036,52.3165,52.499,52.8713,52.7811,52.8064,53.2213,52.3625,52.2716,52.6408,52.7366,52.6846,52.4734,52.2562,52.1804,52.1532,51.9337,51.9205,52.3229,52.1992,52.3026,51.988,52.0529,52.0868,51.9839,51.7236,51.6656,51.9307,51.9854,51.9876,51.9235,51.6014,66.7456,66.9553,66.9851,52.5352,52.771,52.6948,52.7793,52.5251,52.7291,52.4843,52.6359,52.8234,52.7212,52.6706,52.6876,52.711,52.7268,52.6518,52.6529,52.5699,52.5137,52.5737
"2024-11-15 00:05:54",52.9392,52.9184,52.961,52.9765,52.8758,52.9629,52.9531,52.9939,52.9301,52.9007,52.757,52.8083,52.829,52.8702,52.7476,52.7208,52.708,52.6401,52.8019,52.5386,52.5451,52.6265,52.5417,52.3535,52.5481,52.9154,52.8347,52.8385,53.2594,52.3999,52.3082,52.6771,52.7736,52.7287,52.5171,52.3093,52.209,52.1883,51.9876,51.9661,52.3614,52.2415,52.3486,52.0329,52.103,52.1479,52.0329,51.7678,51.718,51.9801,52.0257,52.0291,51.9778,51.6705,66.7807,66.9949,67.0451,52.5914,52.8158,52.7434,52.8309,52.5737,52.7766,52.5322,52.6925,52.8754,52.7774,52.734,52.7487,52.7612,52.7683,52.7004,52.6997,52.6175,52.5715,52.6243
"2024-11-15 00:06:59",52.9724,52.9641,53.004,53.0195,52.9162,53.0078,52.9942,53.0459,52.9686,52.9418,52.7921,52.8592,52.8784,52.9211,52.7925,52.777,52.7563,52.6914,52.8728,52.5982,52.602,52.6782,52.6054,52.4081,52.5982,52.9622,52.8766,52.9045,53.3205,52.456,52.367,52.7412,52.817,52.7819,52.5583,52.3493,52.2731,52.2448,52.0329,52.0106,52.4146,52.2954,52.387,52.0702,52.1438,52.1566,52.0782,51.8145,51.7591,52.0201,52.071,52.0751,52.0204,51.6931,66.8324,67.0349,67.0696,52.625,52.8615,52.7759,52.8686,52.6062,52.8034,52.5786,52.7314,52.9316,52.8106,52.7691,52.7789,52.7913,52.8015,52.734,52.7581,52.6503,52.6046,52.6676
"2024-11-15 00:08:04",53.0361,53.0108,53.0614,53.0655,52.961,53.0561,53.0414,53.081,53.0203,52.9908,52.8468,52.9116,52.9297,52.9588,52.8362,52.806,52.7962,52.7351,52.9048,52.6303,52.6378,52.7204,52.6288,52.4368,52.6265,52.9942,52.9109,52.9418,53.3657,52.4983,52.3927,52.7725,52.8622,52.8155,52.6058,52.3825,52.3018,52.2769,52.094,52.0638,52.4613,52.3376,52.4444,52.126,52.1871,52.235,52.1276,51.8624,51.8108,52.0631,52.1204,52.1291,52.0672,51.7512,66.8723,67.0801,67.1295,52.6771,52.9109,52.8407,52.929,52.662,52.8739,52.6212,52.7744,52.975,52.8713,52.82,52.8324,52.8453,52.8449,52.797,52.7925,52.7038,52.6623,52.7136
"2024-11-15 00:09:09",53.0757,53.0651,53.1119,53.1145,53.0104,53.101,53.0957,53.1375,53.0648,53.0387,52.8962,52.9554,52.9742,53.0123,52.8875,52.869,52.8445,52.7774,52.9603,52.6918,52.6921,52.7702,52.6861,52.4907,52.6835,53.0565,52.9463,52.9905,53.4117,52.5522,52.4587,52.8294,52.9158,52.8751,52.642,52.4372,52.3504,52.3316,52.1166,52.1015,52.5058,52.3859,52.484,52.1649,52.2286,52.2743,52.1717,51.9047,51.8594,52.1121,52.1713,52.1724,52.1117,51.8009,66.9168,67.1239,67.1759,52.7287,52.9531,52.8864,52.9795,52.7144,52.9173,52.6488,52.8185,53.0229,52.9188,52.8656,52.8849,52.9011,52.8905,52.829,52.8336,52.7502,52.6933,52.7589
"2024-11-15 00:10:14",53.1308,53.1028,53.1526,53.1617,53.0519,53.1462,53.1394,53.1839,53.1217,53.0874,52.9369,52.9957,53.0218,53.0534,52.9305,52.918,52.8939,52.823,53.0195,52.7461,52.7351,52.8106,52.7351,52.5232,52.7321,53.1021,52.9976,53.05,53.4592,52.5956,52.4904,52.8683,52.9565,52.915,52.6895,52.4824,52.3919,52.358,52.1562,52.1423,52.5398,52.4353,52.5319,52.2019,52.2769,52.2946,52.2037,51.9341,51.8809,52.16,52.2,52.2086,52.1604,51.8126,66.9553,67.1541,67.1816,52.763,52.9874,52.923,53.0142,52.7547,52.9599,52.7016,52.8758,53.0712,52.9539,52.9188,52.9309,52.9426,52.9505,52.8875,52.8871,52.8,52.76,52.8045
